run,space,ari,nmi,ami,silhouette,davies_bouldin,calinski_harabasz,n_clusters,n_noise,time_model_fit,time_attribution,time_reduction,time_clustering
cooper_dbscan,embedding_2d,0.4143655635660976,0.5824002570685022,0.5803027467638538,0.7784931659698486,0.2558681912175853,33408.87109375,4,0,,,,
cooper_dbscan,full_attribution,0.3446041231176592,0.5140967291048347,0.5109407695605267,0.5234985455550925,0.6625309688728023,2539.7535856669224,4,196,,,,
hdbscan_baseline,embedding_2d,0.4143655635660976,0.5824002570685023,0.580302746763854,0.7784931659698486,0.2558681912175853,33408.87109375,4,0,0.2276117000001249,0.3007754000000204,12.354370400000334,0.0137481000001571
hdbscan_baseline,full_attribution,0.2560595801472979,0.4208749932952367,0.4186757353141878,0.6895411069330251,0.4297716200926941,3591.0687932954083,2,83,0.2276117000001249,0.3007754000000204,12.354370400000334,0.0608975000004647
mlp_baseline,embedding_2d,0.2281909622360976,0.3583469713246735,0.3558570849239385,0.6987486481666565,0.4232405095742253,3913.911865234375,2,58,0.7038684999997713,40.99417040000026,12.401418600000396,0.0144197999998141
mlp_baseline,full_attribution,0.0,0.0,0.0,,,,0,1000,0.7038684999997713,40.99417040000026,12.401418600000396,0.0610882000000856
mlp_lrp,embedding_2d,0.2438906866601024,0.3695868828387628,0.368310057563626,0.6994371,0.4787694569930399,3869.0525,2,0,0.7286643000006734,0.0116336000000956,11.962592900000343,0.0128204000002369
mlp_lrp,full_attribution,0.262436344572872,0.3696307075508644,0.3673993417012773,0.74933374,0.3635672403662395,3782.9993,2,213,0.7286643000006734,0.0116336000000956,11.962592900000343,0.0430473999995228
r_reference_example1,embedding_2d,0.3275203037175953,0.5363267460793724,0.5345443178464877,0.8323273062705994,0.250527467998525,12668.712890625,2,51,,,,
r_reference_example1,full_attribution,0.0,0.0,0.0,,,,0,1000,,,,
